depth,index,method,strategy,path_length,visited,processed,max_depth,execution_time
1,1,astr,hamm,1,4,2,1,4.500
1,1,astr,manh,1,4,2,1,5.511
1,1,bfs,drlu,1,2,2,1,2.422
1,1,bfs,drul,1,2,2,1,2.445
1,1,bfs,ludr,1,4,2,1,2.622
1,1,bfs,lurd,1,4,2,1,2.594
1,1,bfs,rdlu,1,2,2,1,2.513
1,1,bfs,rdul,1,2,2,1,2.461
1,1,bfs,uldr,1,4,2,1,2.656
1,1,bfs,ulrd,1,4,2,1,2.432
1,1,dfs,drlu,1,2,2,20,2.650
1,1,dfs,drul,1,2,2,20,3.234
1,1,dfs,ludr,19,483615,265174,20,331.941
1,1,dfs,lurd,19,465381,255099,20,362.014
1,1,dfs,rdlu,1,2,2,20,2.614
1,1,dfs,rdul,1,2,2,20,2.530
1,1,dfs,uldr,19,1521666,835635,20,1093.243
1,1,dfs,ulrd,19,1205410,661342,20,866.651
1,2,astr,hamm,1,4,2,1,4.857
1,2,astr,manh,1,4,2,1,4.505
1,2,bfs,drlu,1,2,2,1,2.450
1,2,bfs,drul,1,2,2,1,3.015
1,2,bfs,ludr,1,4,2,1,2.470
1,2,bfs,lurd,1,4,2,1,2.580
1,2,bfs,rdlu,1,2,2,1,2.795
1,2,bfs,rdul,1,2,2,1,2.451
1,2,bfs,uldr,1,4,2,1,2.667
1,2,bfs,ulrd,1,4,2,1,2.440
1,2,dfs,drlu,1,2,2,20,2.573
1,2,dfs,drul,1,2,2,20,2.617
1,2,dfs,ludr,19,1205410,661342,20,841.979
1,2,dfs,lurd,19,1521666,835635,20,1085.519
1,2,dfs,rdlu,1,2,2,20,2.666
1,2,dfs,rdul,1,2,2,20,2.830
1,2,dfs,uldr,19,465381,255099,20,329.075
1,2,dfs,ulrd,19,483615,265174,20,402.824
2,3,astr,hamm,2,6,3,2,4.833
2,3,astr,manh,2,6,3,2,4.837
2,3,bfs,drlu,2,5,3,2,3.211
2,3,bfs,drul,2,5,3,2,3.084
2,3,bfs,ludr,2,10,5,2,3.140
2,3,bfs,lurd,2,10,5,2,3.765
2,3,bfs,rdlu,2,5,3,2,3.221
2,3,bfs,rdul,2,5,3,2,3.045
2,3,bfs,uldr,2,10,5,2,3.158
2,3,bfs,ulrd,2,10,5,2,3.120
2,3,dfs,drlu,2,3,3,20,2.720
2,3,dfs,drul,2,3,3,20,3.720
2,3,dfs,ludr,16,1759902,964904,20,1225.444
2,3,dfs,lurd,16,1754484,962153,20,1266.872
2,3,dfs,rdlu,2,3,3,20,2.744
2,3,dfs,rdul,2,3,3,20,2.701
2,3,dfs,uldr,18,1892581,1038079,20,1370.233
2,3,dfs,ulrd,18,1799223,986948,20,1308.559
2,4,astr,hamm,2,7,3,2,4.815
2,4,astr,manh,2,7,3,2,8.247
2,4,bfs,drlu,2,8,4,2,3.274
2,4,bfs,drul,2,8,4,2,3.311
2,4,bfs,ludr,2,15,6,2,3.217
2,4,bfs,lurd,2,13,5,2,3.429
2,4,bfs,rdlu,2,6,3,2,3.366
2,4,bfs,rdul,2,6,3,2,3.178
2,4,bfs,uldr,2,15,6,2,3.484
2,4,bfs,ulrd,2,13,5,2,3.420
2,4,dfs,drlu,10,11,11,20,3.448
2,4,dfs,drul,10,685362,376206,20,470.733
2,4,dfs,ludr,18,912061,500041,20,621.507
2,4,dfs,lurd,18,931582,510810,20,673.714
2,4,dfs,rdlu,2,3,3,20,2.952
2,4,dfs,rdul,2,3,3,20,2.952
2,4,dfs,uldr,18,964857,529163,20,678.445
2,4,dfs,ulrd,16,912072,500047,20,642.741
2,5,astr,hamm,2,7,3,2,4.296
2,5,astr,manh,2,7,3,2,5.682
2,5,bfs,drlu,2,6,3,2,3.384
2,5,bfs,drul,2,6,3,2,3.270
2,5,bfs,ludr,2,13,5,2,3.201
2,5,bfs,lurd,2,15,6,2,3.291
2,5,bfs,rdlu,2,8,4,2,3.618
2,5,bfs,rdul,2,8,4,2,3.306
2,5,bfs,uldr,2,13,5,2,3.366
2,5,bfs,ulrd,2,15,6,2,4.523
2,5,dfs,drlu,2,3,3,20,3.127
2,5,dfs,drul,2,3,3,20,2.900
2,5,dfs,ludr,16,912072,500047,20,642.683
2,5,dfs,lurd,18,964857,529163,20,684.315
2,5,dfs,rdlu,10,685362,376206,20,468.307
2,5,dfs,rdul,10,11,11,20,3.337
2,5,dfs,uldr,18,931582,510810,20,660.535
2,5,dfs,ulrd,18,912061,500041,20,679.641
2,6,astr,hamm,2,6,3,2,4.509
2,6,astr,manh,2,6,3,2,4.793
2,6,bfs,drlu,2,5,3,2,3.116
2,6,bfs,drul,2,5,3,2,3.218
2,6,bfs,ludr,2,10,5,2,3.078
2,6,bfs,lurd,2,10,5,2,3.214
2,6,bfs,rdlu,2,5,3,2,3.370
2,6,bfs,rdul,2,5,3,2,3.026
2,6,bfs,uldr,2,10,5,2,3.322
2,6,bfs,ulrd,2,10,5,2,3.332
2,6,dfs,drlu,2,3,3,20,2.783
2,6,dfs,drul,2,3,3,20,3.961
2,6,dfs,ludr,18,1799223,986948,20,1253.242
2,6,dfs,lurd,18,1892581,1038079,20,1359.344
2,6,dfs,rdlu,2,3,3,20,2.704
2,6,dfs,rdul,2,3,3,20,2.717
2,6,dfs,uldr,16,1754484,962153,20,1255.584
2,6,dfs,ulrd,16,1759902,964904,20,1258.019
3,7,astr,hamm,3,7,4,3,4.362
3,7,astr,manh,3,7,4,3,4.474
3,7,bfs,drlu,3,8,5,3,3.037
3,7,bfs,drul,3,8,5,3,3.045
3,7,bfs,ludr,3,17,8,3,3.106
3,7,bfs,lurd,3,17,8,3,3.415
3,7,bfs,rdlu,3,8,5,3,3.218
3,7,bfs,rdul,3,8,5,3,3.107
3,7,bfs,uldr,3,17,8,3,3.069
3,7,bfs,ulrd,3,17,8,3,3.212
3,7,dfs,drlu,3,4,4,20,2.926
3,7,dfs,drul,3,4,4,20,2.753
3,7,dfs,ludr,17,3807778,2088113,20,2642.395
3,7,dfs,lurd,17,3631288,1991399,20,2612.962
3,7,dfs,rdlu,3,4,4,20,2.724
3,7,dfs,rdul,3,4,4,20,2.721
3,7,dfs,uldr,17,3739431,2051173,20,2632.266
3,7,dfs,ulrd,17,3557722,1951390,20,2545.902
3,8,astr,hamm,3,9,4,3,4.564
3,8,astr,manh,3,9,4,3,4.969
3,8,bfs,drlu,3,23,10,3,3.348
3,8,bfs,drul,3,23,10,3,3.306
3,8,bfs,ludr,3,35,16,3,3.247
3,8,bfs,lurd,3,28,13,3,3.457
3,8,bfs,rdlu,3,16,7,3,3.602
3,8,bfs,rdul,3,16,7,3,3.182
3,8,bfs,uldr,3,35,16,3,3.244
3,8,bfs,ulrd,3,28,13,3,3.259
3,8,dfs,drlu,19,384225,210829,20,263.847
3,8,dfs,drul,19,546668,299978,20,376.780
3,8,dfs,ludr,19,384251,210844,20,265.043
3,8,dfs,lurd,19,223186,122391,20,163.991
3,8,dfs,rdlu,3,4,4,20,2.956
3,8,dfs,rdul,3,4,4,20,3.160
3,8,dfs,uldr,19,744941,408989,20,522.277
3,8,dfs,ulrd,19,202185,110887,20,148.112
3,9,astr,hamm,3,10,4,3,4.462
3,9,astr,manh,3,10,4,3,4.351
3,9,bfs,drlu,3,18,8,3,3.210
3,9,bfs,drul,3,18,8,3,3.201
3,9,bfs,ludr,3,32,14,3,3.302
3,9,bfs,lurd,3,33,15,3,3.697
3,9,bfs,rdlu,3,19,9,3,3.859
3,9,bfs,rdul,3,19,9,3,3.199
3,9,bfs,uldr,3,32,14,3,3.444
3,9,bfs,ulrd,3,33,15,3,3.335
3,9,dfs,drlu,11,12,12,20,3.611
3,9,dfs,drul,11,342263,187762,20,234.087
3,9,dfs,ludr,17,384349,210898,20,267.995
3,9,dfs,lurd,19,286152,156929,20,213.860
3,9,dfs,rdlu,17,1012044,555283,20,697.872
3,9,dfs,rdul,17,928547,509462,20,639.934
3,9,dfs,uldr,19,716702,393385,20,513.338
3,9,dfs,ulrd,19,282847,155116,20,206.011
3,10,astr,hamm,3,10,5,4,4.255
3,10,astr,manh,3,9,4,3,4.490
3,10,bfs,drlu,3,17,9,3,3.107
3,10,bfs,drul,3,13,7,3,3.141
3,10,bfs,ludr,3,22,10,3,3.117
3,10,bfs,lurd,3,22,10,3,3.271
3,10,bfs,rdlu,3,17,9,3,3.398
3,10,bfs,rdul,3,13,7,3,3.065
3,10,bfs,uldr,3,18,8,3,3.294
3,10,bfs,ulrd,3,18,8,3,3.032
3,10,dfs,drlu,9,10,10,20,3.537
3,10,dfs,drul,19,105086,57569,20,81.140
3,10,dfs,ludr,17,1182457,648604,20,825.949
3,10,dfs,lurd,19,1222859,670880,20,923.924
3,10,dfs,rdlu,9,10,10,20,3.235
3,10,dfs,rdul,19,1125,634,20,4.629
3,10,dfs,uldr,19,482509,264540,20,341.324
3,10,dfs,ulrd,17,455136,249509,20,329.042
3,11,astr,hamm,3,10,4,3,4.742
3,11,astr,manh,3,10,4,3,4.846
3,11,bfs,drlu,3,21,10,3,3.260
3,11,bfs,drul,3,21,10,3,3.406
3,11,bfs,ludr,3,35,16,3,3.178
3,11,bfs,lurd,3,30,13,3,3.469
3,11,bfs,rdlu,3,16,7,3,3.869
3,11,bfs,rdul,3,16,7,3,3.433
3,11,bfs,uldr,3,35,16,3,3.292
3,11,bfs,ulrd,3,30,13,3,3.189
3,11,dfs,drlu,15,928429,509398,20,642.736
3,11,dfs,drul,19,914078,501676,20,615.901
3,11,dfs,ludr,19,928621,509501,20,644.688
3,11,dfs,lurd,19,1012188,555361,20,731.248
3,11,dfs,rdlu,3,4,4,20,2.856
3,11,dfs,rdul,3,4,4,20,2.827
3,11,dfs,uldr,17,546725,300011,20,385.081
3,11,dfs,ulrd,17,384296,210869,20,327.814
3,12,astr,hamm,3,10,4,3,4.595
3,12,astr,manh,3,10,4,3,4.556
3,12,bfs,drlu,3,16,7,3,3.568
3,12,bfs,drul,3,16,7,3,3.225
3,12,bfs,ludr,3,30,13,3,3.217
3,12,bfs,lurd,3,35,16,3,3.534
3,12,bfs,rdlu,3,21,10,3,3.435
3,12,bfs,rdul,3,21,10,3,3.550
3,12,bfs,uldr,3,30,13,3,3.408
3,12,bfs,ulrd,3,35,16,3,3.259
3,12,dfs,drlu,3,4,4,20,3.059
3,12,dfs,drul,3,4,4,20,2.881
3,12,dfs,ludr,17,384296,210869,20,263.514
3,12,dfs,lurd,17,546725,300011,20,409.551
3,12,dfs,rdlu,19,914078,501676,20,639.508
3,12,dfs,rdul,15,928429,509398,20,646.739
3,12,dfs,uldr,19,1012188,555361,20,774.259
3,12,dfs,ulrd,19,928621,509501,20,700.395
3,13,astr,hamm,3,10,4,3,9.042
3,13,astr,manh,3,10,4,3,5.520
3,13,bfs,drlu,3,19,9,3,3.682
3,13,bfs,drul,3,19,9,3,3.339
3,13,bfs,ludr,3,33,15,3,3.674
3,13,bfs,lurd,3,32,14,3,3.286
3,13,bfs,rdlu,3,18,8,3,3.598
3,13,bfs,rdul,3,18,8,3,3.247
3,13,bfs,uldr,3,33,15,3,3.329
3,13,bfs,ulrd,3,32,14,3,3.229
3,13,dfs,drlu,17,928547,509462,20,631.489
3,13,dfs,drul,17,1012044,555283,20,689.534
3,13,dfs,ludr,19,282847,155116,20,209.219
3,13,dfs,lurd,19,716702,393385,20,526.293
3,13,dfs,rdlu,11,342263,187762,20,236.190
3,13,dfs,rdul,11,12,12,20,3.387
3,13,dfs,uldr,19,286152,156929,20,212.335
3,13,dfs,ulrd,17,384349,210898,20,278.784
3,14,astr,hamm,3,10,5,4,4.265
3,14,astr,manh,3,10,5,4,4.554
3,14,bfs,drlu,3,13,7,3,3.193
3,14,bfs,drul,3,17,9,3,3.181
3,14,bfs,ludr,3,18,8,3,3.102
3,14,bfs,lurd,3,18,8,3,3.411
3,14,bfs,rdlu,3,13,7,3,3.129
3,14,bfs,rdul,3,17,9,3,3.072
3,14,bfs,uldr,3,22,10,3,3.291
3,14,bfs,ulrd,3,22,10,3,3.116
3,14,dfs,drlu,19,1125,634,20,5.071
3,14,dfs,drul,9,10,10,20,3.231
3,14,dfs,ludr,17,455136,249509,20,317.345
3,14,dfs,lurd,19,482509,264540,20,363.138
3,14,dfs,rdlu,19,105086,57569,20,76.508
3,14,dfs,rdul,9,10,10,20,3.214
3,14,dfs,uldr,19,1222859,670880,20,889.140
3,14,dfs,ulrd,17,1182457,648604,20,847.249
